Time,Time Code,Country Name,Country Code,Total tax and contribution rate,Time required to get electricity (days) [IC.ELC.TIME],Start-up procedures to register a business (number) [IC.REG.PROC],Labor tax and contributions,"Time required to start a business, female (days)","Time required to start a business, male (days)",Time required to start a business (days),Time required to register property (days) [IC.PRP.DURS],Time required to build a warehouse (days) [IC.WRH.DURS]
2015,YR2015,United Kingdom,GBR,32,79,4,11.2,4.5,4.5,4.5,21.5,86
2015,YR2015,Ukraine,UKR,52.2,263,5,43.1,8,8,8,16,85
2015,YR2015,United States,USA,43.9,89.6,6,9.8,5.6,5.6,5.6,15.2,80.6
2015,YR2015,Thailand,THA,26.8,37,7,5.4,31,31,31,9,118
2015,YR2015,Spain,ESP,49.8,107,7,35.6,14,14,14,13,147
2015,YR2015,Saudi Arabia,SAU,15,68,14,12.8,24.5,22.5,23.3,6,106
2015,YR2015,Pakistan,PAK,32.9,161.2,13,13.2,20,20,20,156.5,285.5
2015,YR2015,Philippines,PHL,42.9,42,17,8.7,25,25,25,35,122
2015,YR2015,India,IND,55.5,100.02,14,20.8,30,30,30,63.1,183.72
2016,YR2016,Sri Lanka,LKA,55.2,100,7,16.9,9,9,9,51,115
2016,YR2016,Sweden,SWE,49.1,52,3,35.4,7,7,7,7,117
2016,YR2016,Switzerland,CHE,28.8,39,6,17.7,10,10,10,16,156
2016,YR2016,United Kingdom,GBR,30.9,79,4,10.9,4.5,4.5,4.5,21.5,86
2016,YR2016,Ukraine,UKR,52.3,281,6,43.1,6.5,6.5,6.5,16,85
2016,YR2016,United States,USA,44,89.6,6,9.8,5.6,5.6,5.6,15.2,80.6
2016,YR2016,Thailand,THA,29.6,32,6,5.4,29,29,29,9,118
2016,YR2016,Spain,ESP,48.7,95,7,35.6,13,13,13,13,147
2016,YR2016,Saudi Arabia,SAU,15.7,68,14,13.5,20.5,18.5,19.3,3,106
2016,YR2016,Pakistan,PAK,33.4,161.85,13,13.8,20,20,20,156.5,285.5
2016,YR2016,Philippines,PHL,42.9,42,17,8.7,25,25,25,35,122
2016,YR2016,India,IND,56.2,59.21,14,20.5,28.47,28.47,28.5,63.1,183.72
2017,YR2017,Sri Lanka,LKA,55.2,100,7,16.9,9,9,9,51,115
2017,YR2017,Sweden,SWE,49.1,52,3,35.4,7,7,7,7,117
2017,YR2017,Switzerland,CHE,28.8,39,6,17.7,10,10,10,16,156
2017,YR2017,United Kingdom,GBR,30.7,79,4,10.9,4.5,4.5,4.5,21.5,86
2017,YR2017,Ukraine,UKR,37.8,281,6,24.8,6.5,6.5,6.5,16,79
2017,YR2017,United States,USA,43.8,89.6,6,9.8,5.6,5.6,5.6,15.2,80.6
2017,YR2017,Thailand,THA,28.7,32,5,5.4,6,6,6,9,118
2017,YR2017,Spain,ESP,46.9,95,7,35.6,13,13,13,13,147
2017,YR2017,Saudi Arabia,SAU,15.7,68,11,13.5,19,17,17.8,1.5,105.5
2017,YR2017,Pakistan,PAK,33.9,161.85,13,14.5,19.5,19.5,19.5,156.5,285.5
2017,YR2017,Philippines,PHL,42.9,37,17,8.7,39,39,39,35,122
2017,YR2017,India,IND,56.2,59.21,12,20.5,29.765,29.765,29.8,62.63,143.87
2018,YR2018,Sri Lanka,LKA,55.2,100,7,16.9,9,9,9,39,86
2018,YR2018,Sweden,SWE,49.1,52,4,35.4,7.5,7.5,7.5,7,117
2018,YR2018,Switzerland,CHE,28.8,39,6,17.7,10,10,10,16,156
2018,YR2018,United Kingdom,GBR,30,50,4,10.8,4.5,4.5,4.5,21.5,86
